0
Babel
Ellen Page
Joel Coen and Ethan Coen
Robert Leonard
Babel
Ellen Page
Joel Coen and Ethan Coen
Robert Leonard
William Wellman
Charles Chaplin
Sir Laurence Olivier
"Robert Wise, Jerome Robbins"
Michael Cacoyannis
Dame Edith Evans
Topol
Francis Coppola
The Mission
"Warren Beatty, Buck Henry"
"""My Life as a Dog"" Lasse Hallström"
The Killing Fields
Babel
Ellen Page
Joel Coen and Ethan Coen
Robert Leonard
Babel
Ellen Page
Joel Coen and Ethan Coen
Robert Leonard
William Wellman
Charles Chaplin
Sir Laurence Olivier
"Robert Wise, Jerome Robbins"
Michael Cacoyannis
Dame Edith Evans
Topol
Francis Coppola
The Mission
"Warren Beatty, Buck Henry"
"""My Life as a Dog"" Lasse Hallström"
The Killing Fields
A Better Life
Alejandro G. Iñárritu
Bong Joon Ho
