0
The Killing Fields
The Postman 
A Better Life
Goodfellas
Three Colors: Red
The Hollywood Revue of 1929
Sunset Boulevard
Around the World in Eighty Days
The Music Man
My Left Foot: The Story of Christy Brown
Precious
Les Miserables
Once upon a Time in Hollywood
