league,livescore,whoscore,footballapi,fun88,bbc,bbc_short,infobetting,short,abbv,
epl,AFC Bournemouth,,AFC Bournemouth,,,,,Bournemouth,,
epl,Aston Villa,Aston Villa,Aston Villa FC,,Aston Villa,Aston Villa,Aston Villa,Aston Villa,AVL,
epl,Arsenal,Arsenal,Arsenal FC,,Arsenal,Arsenal,Arsenal,Arsenal,ARS,
epl,Brighton & Hove Albion,Brighton,Brighton & Hove Albion FC,,Brighton & Hove Albion,Brighton,Brighton,Brighton,BHA,
epl,Burnley,Burnley,Burnley FC,,Burnley,Burnley,Burnley,Burnley,BUR,
epl,Cardiff City,,Cardiff City FC,,Cardiff City,,,Cardiff,,
epl,Chelsea,Chelsea,Chelsea FC,,Chelsea,Chelsea,Chelsea,Chelsea,CHE,
epl,Crystal Palace,Crystal Palace,Crystal Palace FC,,Crystal Palace,Crystal Palace,Crystal Palace,C Palace,CRY,
epl,Everton,Everton,Everton FC,,Everton,Everton,FC Everton,Everton,EVE,
epl,Fulham,Fulham,Fulham FC,,Fulham,Fulham,Fulham,Fulham,FUL,
epl,Huddersfield Town,,Huddersfield Town AFC,,Huddersfield Town,,,Huddersfield,,
epl,Leeds United,Leeds,Leeds United FC,,Leeds United,Leeds,Leeds,Leeds,LEE,
epl,Leicester City,Leicester,Leicester City FC,,Leicester City,Leicester,Leicester,Leicester,LEI,
epl,Liverpool,Liverpool,Liverpool FC,,Liverpool,Liverpool,Liverpool FC,Liverpool,LIV,
epl,Manchester City,Manchester City,Manchester City FC,,Manchester City,Man City,Man City,Man City,MUN,
epl,Manchester United,Manchester United,Manchester United FC,,Manchester United,Man Utd,Man United,Man Utd,MCI,
epl,Newcastle United,Newcastle United,Newcastle United FC,,Newcastle United,Newcastle,Newcastle United,Newcastle,NEW,
epl,Norwich City,,Norwich City FC,,Norwich City,,,Norwich,NOR,
epl,Sheffield United,Sheffield United,Sheffield United FC,,Sheffield United,Sheff Utd,Sheffield United,Shef Utd,SHU,
epl,Southampton,Southampton,Southampton FC,,Southampton,Southampton,Southampton,Southampton,SOU,
epl,Tottenham Hotspur,Tottenham,Tottenham Hotspur FC,,Tottenham Hotspur,Tottenham,Tottenham,Spurs,TOT,
epl,Watford,,Watford FC,,Watford,West Brom,,Watford,WAT,
