league,livescore,whoscore,footballapi,fun88,bbc,bbc_short,infobetting,short,abbv,
epl,West Ham United,West Bromwich Albion,West Ham United FC,,West Ham United,West Ham,West Ham,West Ham,WHU,
epl,West Bromwich Albion,West Ham,West Bromwich Albion FC,,West Bromwich Albion,,West Bromwich,WBA,WBA,
epl,Wolverhampton Wanderers,Wolverhampton Wanderers,Wolverhampton Wanderers FC,,Wolverhampton Wanderers,Wolves,Wolverhampton,Wolve,WOL,
ger,FC Koln,FC Koln,,,1. FC Köln,Köln,1. FC Koln,Koln,,KOE
ger,Arminia Bielefeld,Arminia Bielefeld,,,Arminia Bielefeld,Arminia Bielefeld,Arminia Bielefeld,A Bielefeld,,DSC
ger,Augsburg,Augsburg,,,FC Augsburg,Augsburg,Augsburg,Augsburg,,FCA
ger,Bayern Munich,Bayern Munich,,,Bayern Munich,Bayern Munich,Bayern Munich,Bayern M,,FCB
ger,Borussia Dortmund,Borussia Dortmund,,,Borussia Dortmund,B Dortmund,Borussia Dortmund,Dortmund,,BVB
ger,Borussia Moenchengladbach,Borussia M.Gladbach,,,Borussia Mönchengladbach,B Mgladbach,Borussia Mönchengladbach,B Monchen,,BMG
ger,Eintracht Frankfurt,Eintracht Frankfurt,,,Eintracht Frankfurt,Frankfurt,Eintracht Frankfurt,Frankfurt,,SGE
ger,Freiburg,Freiburg,,,SC Freiburg,Freiburg,Freiburg,Freiburg,,SCF
ger,Hertha Berlin,Hertha Berlin,,,Hertha Berlin,Hertha Berlin,Hertha BSC,Hertha B,,BSC
ger,Hoffenheim,Hoffenheim,,,1899 Hoffenheim,Hoffenheim,Hoffenheim,Hoffenheim,,TSG
ger,Bayer Leverkusen,Bayer Leverkusen,,,Bayer 04 Leverkusen,B Leverkusen,Leverkusen,Leverkusen,,B04
ger,Mainz,Mainz 05,,,Mainz 05,Mainz,Mainz 05,Mainz 05,,M05
ger,RB Leipzig,RB Leipzig,,,RB Leipzig,RB Leipzig,RB Leipzig,RB Leipzig,,RBL
ger,Schalke 04,Schalke 04,,,FC Schalke 04,Schalke,Schalke 04,Schalke 04,,S04
ger,VfB Stuttgart,VfB Stuttgart,,,VfB Stuttgart,Stuttgart,Stuttgart,Stuttgart,,VFB
ger,Union Berlin,Union Berlin,,,1. FC Union Berlin,Union Berlin,Union Berlin,U Berlin,,FCU
ger,Werder Bremen,Werder Bremen,,,Werder Bremen,Werder Bremen,Werder,Werder,,SVW
ger,Wolfsburg,Wolfsburg,,,VfL Wolfsburg,Wolfsburg,Wolfsburg,Wolfsburg,,WOB
esp,Athletic Bilbao,Athletic Bilbao,,,Athletic Bilbao,Ath Bilbao,Athletic Bilbao,Ath Bilbao,,
esp,Atletico Madrid,Atletico Madrid,,,Atlético Madrid,Atl Madrid,Atletico Madrid,Atl Madrid,,
esp,Barcelona,Barcelona,,,Barcelona,Barcelona,Barcelona,Barcelona,,
esp,Cadiz,Cadiz,,,Cádiz,Cádiz,Cádiz,Cadiz,,
esp,Celta Vigo,Celta Vigo,,,Celta Vigo,Celta Vigo,Celta Vigo,Celta Vigo,,
esp,Deportivo Alaves,Deportivo Alaves,,,Alavés,Alavés,Alaves,Alaves,,
esp,Eibar,Eibar,,,Eibar,Eibar,Eibar,Eibar,,
esp,Elche,Elche,,,Elche,Elche,Elche,Elche,,
esp,Getafe,Getafe,,,Getafe,Getafe,Getafe,Getafe,,
esp,Granada,Granada,,,Granada,Granada,Granada CF,Granada,,
esp,Levante,Levante,,,Levante,Levante,Levante,Levante,,
esp,Osasuna,Osasuna,,,Osasuna,Osasuna,Osasuna,Osasuna,,
esp,Real Betis,Real Betis,,,Real Betis,Real Betis,Real Betis,Real Betis,,
esp,Real Madrid,Real Madrid,,,Real Madrid,Real Madrid,Real Madrid,R Madrid,,
esp,Real Sociedad,Real Sociedad,,,Real Sociedad,Real Sociedad,Real Sociedad,R Sociedad,,
esp,Real Valladolid,Real Valladolid,,,Real Valladolid,Real Valladolid,Valladolid,Valladolid,,
esp,SD Huesca,SD Huesca,,,Huesca,Huesca,Huesca,Huesca,,
esp,Sevilla,Sevilla,,,Sevilla,Sevilla,Sevilla,Sevilla,,
esp,Valencia,Valencia,,,Valencia,Valencia,Valencia,Valencia,,
esp,Villarreal,Villarreal,,,Villarreal,Villarreal,Villarreal,Villarreal,,
fra,Angers,Angers,,,Angers,Angers,Angers,,,
fra,Bordeaux,Bordeaux,,,Bordeaux,Bordeaux,Bordeaux,,,
fra,Brest,Brest,,,Brest,Brest,Stade Brestois,,,
fra,Dijon,Dijon,,,Dijon,Dijon,Dijon,,,
fra,Lens,Lens,,,Lens,Lens,Lens,,,
fra,Lille,Lille,,,Lille,Lille,Lille,,,
fra,Lorient,Lorient,,,Lorient,Lorient,Lorient,,,
fra,Lyon,Lyon,,,Lyon,Lyon,Lyon,,,
fra,Marseille,Marseille,,,Marseille,Marseille,Marseille,,,
fra,Metz,Metz,,,Metz,Metz,Metz,,,
fra,Monaco,Monaco,,,Monaco,Monaco,Monaco,,,
fra,Montpellier,Montpellier,,,Montpellier,Montpellier,Montpellier,,,
fra,Nantes,Nantes,,,Nantes,Nantes,Nantes,,,
fra,Nice,Nice,,,Nice,Nice,Nice,,,
fra,Nimes,Nimes,,,Nîmes,Nîmes,Nimes,,,
fra,Paris Saint-Germain,Paris Saint-Germain,,,Paris Saint Germain,PSG,Paris St. Germain,PSG,,
fra,Reims,Reims,,,Reims,Reims,Reims,,,
fra,Rennes,Rennes,,,Rennes,Rennes,Rennes,,,
fra,Saint-Etienne,Saint-Etienne,,,Saint-Étienne,Saint-Étienne,St. Etienne,,,
fra,Strasbourg,Strasbourg,,,Strasbourg,Strasbourg,Strasbourg,,,
ita,AC Milan,AC Milan,,,AC Milan,AC Milan,Milan,,,
ita,Atalanta,Atalanta,,,Atalanta,Atalanta,Atalanta,,,
ita,Benevento,Benevento,,,Benevento,Benevento,Benevento,,,
ita,Bologna,Bologna,,,Bologna,Bologna,Bologna,,,
ita,Cagliari,Cagliari,,,Cagliari,Cagliari,Cagliari,,,
ita,Crotone,Crotone,,,Crotone,Crotone,Crotone,,,
ita,Fiorentina,Fiorentina,,,Fiorentina,Fiorentina,Fiorentina,,,
ita,Genoa,Genoa,,,Genoa,Genoa,Genoa,,,
ita,Inter,Inter,,,Inter Milan,Inter Milan,Inter,,,
ita,Juventus,Juventus,,,Juventus,Juventus,Juventus,,,
ita,Lazio,Lazio,,,Lazio,Lazio,Lazio,,,
ita,Napoli,Napoli,,,Napoli,Napoli,Napoli,,,
ita,Parma,Parma Calcio 1913,,,Parma,Parma,Parma,,,
ita,Roma,Roma,,,Roma,Roma,Roma,,,
ita,Sampdoria,Sampdoria,,,Sampdoria,Sampdoria,Sampdoria,,,
ita,Sassuolo,Sassuolo,,,Sassuolo,Sassuolo,Sassuolo,,,
ita,Spezia,Spezia,,,Spezia,Spezia,Spezia,,,
ita,Torino,Torino,,,Torino,Torino,Torino,,,
ita,Udinese,Udinese,,,Udinese,Udinese,Udinese,,,
ita,Verona,Verona,,,Hellas Verona,Hellas Verona,Verona,,,
etc,,,,,,Ajax,,,,
etc,,,,,,Lokomotiv Moscow,,,,
etc,,,,,,Shakhtar Donetsk,,,,
etc,,,,,,FC Porto,,,,
etc,,,,,,Olympiakos,,,,
etc,,,,,,FC Midtjylland,,,,
etc,,,,,,FK Krasnodar,,,,
